word,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
adviser,136,640,0.0012676043210394356,0.012674773240384997,776
impeach,4,772,3.7282480030571634e-05,0.015288945221214401,776
got,252,519,0.002348796241926013,0.010278448924624707,771
migrants,502,265,0.00467895124383674,0.005248148294846913,767
californias,39,726,0.0003635041802980734,0.01437794589456173,765
far,658,106,0.006132967965029034,0.002099259317938765,764
three,396,367,0.0036909655230265917,0.007268190280033272,763
facebook,724,39,0.006748128885533466,0.0007723689943359607,763
billion,485,274,0.004520500703706811,0.0054263872935398265,759
draft,718,38,0.0066922051654876085,0.0007525646611478592,756
nearly,594,155,0.0055364482845398875,0.0030696716441557413,749
diplomat,1,746,9.320620007642909e-06,0.014774032558323762,747
list,574,172,0.005350035884387029,0.0034063453083534676,746
family,590,154,0.005499165804509316,0.0030498673109676396,744
hungry,729,15,0.00679473198557168,0.00029706499782152337,744
eric,738,3,0.006878617565640467,5.941299956430467e-05,741
bernie,573,166,0.005340715264379387,0.0032875193092248584,739
el,472,261,0.004399332643607453,0.005168930962094506,733
didnt,307,425,0.002861430342346373,0.008416841604943161,732
many,500,227,0.004660310003821454,0.004495583633699053,727
partnership,725,2,0.0067574495055411085,3.960866637620311e-05,727
fromsoftware,725,1,0.0067574495055411085,1.9804333188101555e-05,726
carle,725,1,0.0067574495055411085,1.9804333188101555e-05,726
caterpillars,725,1,0.0067574495055411085,1.9804333188101555e-05,726
may,93,630,0.0008668176607107905,0.012476729908503981,723
attorney,19,702,0.00017709178014521526,0.013902641898047293,721
dangerous,151,566,0.001407413621154079,0.01120925258446548,717
auto,2,714,1.8641240015285817e-05,0.014140293896304511,716
maga,690,24,0.006431227805273607,0.0004753039965144374,714
cnnpolitics,1,712,9.320620007642909e-06,0.014100685229928309,713
sanders,507,204,0.004725554343874954,0.004040083970372718,711
meet,13,697,0.00012116806009935781,0.013803620232106784,710
evidence,161,545,0.0015006198212305082,0.010793361587515348,706
iran,282,420,0.0026284148421553003,0.008317819939002654,702
king,677,24,0.006310059745174249,0.0004753039965144374,701
facts,260,440,0.0024233612019871563,0.008713906602764684,700
nothing,283,412,0.002637735462162943,0.00815938527349784,695
every,361,333,0.00336474382275909,0.006594842951637818,694
born,579,114,0.005396638984425244,0.0022576939834435773,693
steele,677,14,0.006310059745174249,0.0002772606646334218,691
women,498,193,0.004641668763806168,0.0038222363053036002,691
investigate,73,617,0.0006804052605579324,0.01221927357705866,690
abc,174,514,0.001621787881329866,0.0101794272586842,688
excellent,678,9,0.006319380365181892,0.000178238998692914,687
days,461,226,0.0042968058235233805,0.004475779300510952,687
decades,597,88,0.005564410144562816,0.001742781320552937,685
often,26,659,0.00024233612019871562,0.013051055570958927,685
big,515,169,0.004800119303936098,0.003346932308789163,684
ever,401,282,0.0037375686230648065,0.005584821959044639,683
play,621,61,0.005788105024746246,0.001208064324474195,682
kill,647,35,0.0060304411449449615,0.0006931516615835545,682
whether,54,627,0.000503313480412717,0.012417316908939676,681
government,233,447,0.0021717044617807976,0.008852536935081395,680
check,448,232,0.004175637763424023,0.004594605299639561,680
screwing,678,1,0.006319380365181892,1.9804333188101555e-05,679
consultant,677,1,0.006310059745174249,1.9804333188101555e-05,678
pooch,677,1,0.006310059745174249,1.9804333188101555e-05,678
prepares,677,1,0.006310059745174249,1.9804333188101555e-05,678
authority,3,675,2.7961860022928726e-05,0.01336792490196855,678
cooper,670,8,0.0062448154051207485,0.00015843466550481244,678
decries,676,1,0.006300739125166606,1.9804333188101555e-05,677
intelligence,41,635,0.0003821454203133592,0.012575751574444488,676
requests,602,74,0.005611013244601031,0.0014655206559195152,676
love,424,250,0.0039519428832405935,0.004951083297025389,674
service,57,615,0.0005312753404356458,0.012179664910682458,672
