two_words,cnt_in_true,cnt_in_fake,freq_true,freq_fake,total_cnt
"('buying', 'votes')",912,1,0.008500405446970333,1.9804333188101555e-05,913
"('literally', 'buying')",911,1,0.008491084826962689,1.9804333188101555e-05,912
"('votes', 'democratvoterfraud')",910,1,0.008481764206955046,1.9804333188101555e-05,911
"('needs', 'to')",89,822,0.0008295351806802189,0.01627916188061948,911
"('man', 'who')",890,18,0.008295351806802189,0.000356477997385828,908
"('to', 'hell')",902,1,0.008407199246893904,1.9804333188101555e-05,903
"('giant', 'demonic')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('demonic', 'hand')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('hand', 'bursts')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('bursts', 'out')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('bill', 'belichick')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('of', 'ground')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('drags', 'bill')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('belichick', 'back')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('ground', 'drags')",900,1,0.008388558006878618,1.9804333188101555e-05,901
"('the', 'us')",532,358,0.0049585698440660275,0.007089951281340357,890
"('by', 'a')",561,322,0.005228867824287672,0.006376995286568701,883
"('for', 'work')",874,6,0.008146221886679902,0.00011882599912860934,880
"('is', 'the')",295,584,0.002749582902254658,0.011565730581851308,879
"('party', 'for')",874,2,0.008146221886679902,3.960866637620311e-05,876
"('friends', 'super')",874,1,0.008146221886679902,1.9804333188101555e-05,875
"('bowl', 'party')",874,1,0.008146221886679902,1.9804333188101555e-05,875
"('miss', 'friends')",874,1,0.008146221886679902,1.9804333188101555e-05,875
"('bombshell', 'nunes')",1,874,9.320620007642909e-06,0.01730898720640076,875
"('goff', 'pissed')",874,1,0.008146221886679902,1.9804333188101555e-05,875
"('pissed', 'he')",874,1,0.008146221886679902,1.9804333188101555e-05,875
"('jared', 'goff')",874,1,0.008146221886679902,1.9804333188101555e-05,875
"('it', 'from')",867,6,0.008080977546626402,0.00011882599912860934,873
"('a', 'million')",870,2,0.00810893940664933,3.960866637620311e-05,872
"('so', 'called')",781,90,0.007279404225969111,0.00178238998692914,871
"('jussie', 'smollett')",868,1,0.008090298166634044,1.9804333188101555e-05,869
"('the', 'so')",777,90,0.00724212174593854,0.00178238998692914,867
"('nunes', 'says')",1,865,9.320620007642909e-06,0.017130748207707845,866
